date,Close,Open,High,Low,Volume
2015/1/15,"1,264.80","1,229.70","1,267.20","1,226.10",288.79K
2015/1/14,"1,364.50","1,364.50","1,364.50","1,366.70",0.02K
2015/1/13,"1,374.50","1,377.40","1,377.40","1,377.40",0.00K
2015/1/12,"1,373.20","1,357.40","1,357.40","1,357.40",0.00K
2015/1/9,"1,357.40","1,357.40","1,357.40","1,357.40",0.04K
2015/1/8,"1,351.60","1,351.60","1,351.60","1,350.00",0.09K
2015/1/7,"1,353.60","1,353.60","1,353.60","1,350.30",0.03K
2015/1/6,"1,362.20","1,362.20","1,362.20","1,362.20",0.10K
2015/1/5,"1,353.50","1,340.00","1,340.00","1,340.00",0.00K
2015/1/2,"1,337.70","1,337.70","1,337.70","1,337.70",0.14K
2015/1/1,"1,186.80","1,184.10","1,187.50","1,184.10",-
2014/12/31,"1,335.40","1,335.40","1,335.40","1,346.70",0.09K
2014/12/30,"1,311.90","1,181.40","1,210.30","1,181.40",0.19K
2014/12/29,"1,292.90","1,186.50","1,186.50","1,181.30",0.06K
2014/12/26,"1,307.70","1,177.20","1,194.40","1,177.20",0.12K
2014/12/25,"1,177.00","1,175.00","1,178.90","1,175.00",-
2014/12/24,"1,285.60","1,177.00","1,179.30","1,173.70",0.02K
2014/12/23,"1,289.70","1,179.30","1,180.30","1,175.00",0.23K
2014/12/22,"1,289.70","1,198.00","1,198.00","1,172.70",0.22K
2014/12/19,"1,305.60","1,198.00","1,200.80","1,196.50",0.10K
2014/12/18,"1,303.90","1,189.70","1,207.30","1,189.70",0.20K
2014/12/17,"1,302.30","1,198.20","1,199.60","1,184.00",0.09K
2014/12/16,"1,302.00","1,197.20","1,222.00","1,192.70",0.22K
2014/12/15,"1,317.70","1,223.10","1,223.10","1,198.00",0.08K
2014/12/12,"1,333.50","1,227.80","1,227.80","1,216.20",0.20K
2014/12/11,"1,342.30","1,226.60","1,232.00","1,216.20",0.26K
2014/12/10,"1,345.50","1,231.20","1,234.60","1,226.60",0.31K
2014/12/9,"1,350.20","1,202.00","1,238.00","1,202.00",0.31K
2014/12/8,"1,314.40","1,190.60","1,207.00","1,187.20",0.18K
2014/12/5,"1,310.80","1,203.10","1,206.00","1,186.70",0.56K
2014/12/4,"1,324.20","1,208.20","1,213.00","1,201.60",0.36K
2014/12/3,"1,325.80","1,198.10","1,213.70","1,196.10",0.44K
2014/12/2,"1,314.70","1,212.30","1,212.30","1,191.30",1.24K
2014/12/1,"1,332.50","1,160.00","1,220.40","1,141.70",5.52K
2014/11/28,"1,291.20","1,197.00","1,198.30","1,163.80",11.18K
