date,Close,Open,High,Low,Volume
2014/2/19,132.97,133.34,133.91,132.81,261.86K
2014/2/18,133.31,132.97,133.62,132.66,225.42K
2014/2/17,132.89,132.95,133.11,132.8,-
2014/2/14,132.91,133.09,133.44,132.69,191.34K
2014/2/13,133,132.31,133.22,132.25,278.76K
2014/2/12,132.25,132.78,132.91,132,258.99K
2014/2/11,132.84,133.34,133.44,132.47,275.58K
2014/2/10,133.28,133.09,133.44,132.94,180.66K
2014/2/7,133.31,133.09,134.06,132.38,378.60K
2014/2/6,133.03,133.44,133.59,132.88,308.61K
2014/2/5,133.41,134.06,134.5,133.31,380.58K
2014/2/4,134.16,134.91,135.06,134,314.86K
2014/2/3,134.91,133.75,135.09,133.44,393.86K
2014/1/31,133.59,133.19,133.97,133.06,355.28K
2014/1/30,133.28,133.53,133.59,132.78,296.19K
2014/1/29,133.5,132.31,133.75,132.03,474.25K
2014/1/28,132.62,132.62,132.69,132.09,319.09K
2014/1/27,132.34,133.03,133.25,132.28,329.28K
2014/1/24,132.84,132.28,133.16,132.16,425.88K
2014/1/23,132.31,131,132.62,130.94,357.10K
2014/1/22,131.06,131.31,131.47,130.97,204.52K
2014/1/21,131.41,131.41,131.62,130.84,186.79K
2014/1/20,131.39,131.51,131.64,131.26,-
2014/1/17,131.31,131.09,131.5,130.81,204.07K
2014/1/16,131.09,130.31,131.22,130.22,223.92K
2014/1/15,130.53,130.62,130.78,130.09,248.54K
2014/1/14,130.66,131.03,131.09,130.53,209.82K
2014/1/13,131.09,130.59,131.25,130.56,230.17K
2014/1/10,130.72,129.28,130.75,129.12,419.36K
2014/1/9,129.34,128.91,129.44,128.81,363.58K
2014/1/8,128.78,129.22,129.25,128.34,325.23K
2014/1/7,129.31,128.97,129.38,128.91,160.80K
2014/1/6,129.03,128.47,129.34,128.25,187.85K
2014/1/3,128.53,128.53,128.88,128.19,154.96K
2014/1/2,128.62,128.09,128.81,127.84,175.08K
2014/1/1,128.01,128.01,128.01,128.01,-
2013/12/31,128.31,128.81,128.88,127.72,141.76K
2013/12/30,128.78,128.31,128.97,128.09,106.47K
2013/12/27,128.28,128.5,128.75,128.06,129.18K
2013/12/26,128.5,128.69,128.78,128.31,51.98K
2013/12/24,128.69,129.47,129.59,128.56,78.39K
2013/12/23,129.44,130.16,131.12,129.41,162.52K
2013/12/20,130.09,129.09,130.25,128.84,276.33K
2013/12/19,130.59,130.91,131.06,130.28,1.57K
2013/12/18,130.72,131.34,131.69,130.22,1.41K
2013/12/17,131.31,130.78,131.44,130.66,2.60K
2013/12/16,130.84,131.22,131.56,130.66,2.01K
2013/12/13,131.12,130.62,131.25,130.62,2.34K
2013/12/12,130.75,130.94,131.03,130.56,2.55K
2013/12/11,130.97,131.5,131.59,130.81,4.33K
