date,Close,Open,High,Low,Volume
2014/2/12,80.741,80.705,80.915,80.57,18.61K
2014/2/11,80.704,80.61,80.745,80.51,24.07K
2014/2/10,80.727,80.82,80.84,80.665,10.59K
2014/2/7,80.758,80.965,81.095,80.63,20.86K
2014/2/6,81.002,81.16,81.35,80.805,28.10K
2014/2/5,81.129,81.215,81.345,80.82,24.51K
2014/2/4,81.224,81.17,81.325,81.075,14.22K
2014/2/3,81.11,81.385,81.42,81.09,20.22K
2014/1/31,81.403,81.175,81.44,81.08,23.50K
2014/1/30,81.193,80.64,81.245,80.635,24.07K
2014/1/29,80.581,80.71,80.9,80.515,22.06K
2014/1/28,80.657,80.59,80.845,80.475,13.15K
2014/1/27,80.612,80.53,80.65,80.39,14.36K
2014/1/24,80.541,80.565,80.64,80.22,26.81K
2014/1/23,80.525,81.38,81.4,80.49,34.88K
2014/1/22,81.305,81.175,81.335,81.075,15.00K
2014/1/21,81.226,81.305,81.525,81.145,25.59K
2014/1/20,81.362,81.345,81.43,81.175,4.25K
2014/1/17,81.362,81.045,81.43,81.015,21.14K
2014/1/16,81.021,81.185,81.205,80.87,21.42K
2014/1/15,81.144,80.755,81.255,80.75,23.12K
2014/1/14,80.756,80.67,80.79,80.54,13.17K
2014/1/13,80.611,80.745,80.855,80.56,18.58K
2014/1/10,80.754,81.085,81.27,80.62,38.73K
2014/1/9,81.135,81.215,81.33,80.985,28.07K
2014/1/8,81.162,81.065,81.335,80.98,38.07K
2014/1/7,80.98,80.86,81.105,80.755,24.80K
2014/1/6,80.806,81,81.08,80.69,24.67K
2014/1/3,80.955,80.765,81.06,80.64,19.02K
2014/1/2,80.788,80.43,80.865,80.43,22.42K
2014/1/1,80.29,80.29,80.29,80.29,-
2013/12/31,80.189,80.105,80.35,80.09,6.60K
2013/12/30,80.122,80.415,80.58,80.055,14.14K
2013/12/27,80.538,80.6,80.61,79.82,25.25K
2013/12/26,80.653,80.675,80.71,80.595,7.23K
2013/12/24,80.674,80.655,80.78,80.63,5.61K
2013/12/23,80.617,80.75,80.75,80.46,18.04K
2013/12/20,80.75,80.89,81.005,80.56,23.82K
2013/12/19,80.788,80.675,80.835,80.62,21.72K
2013/12/18,80.248,80.21,80.715,79.5,35.10K
2013/12/17,80.214,80.275,80.445,80.135,12.53K
2013/12/16,80.045,80.165,80.175,79.92,1.09K
2013/12/13,80.22,80.22,80.42,80.15,12.71K
2013/12/12,80.208,79.965,80.25,79.85,22.43K
2013/12/11,79.89,79.99,80.055,79.755,29.72K
2013/12/10,79.964,80.155,80.16,79.835,24.11K
2013/12/9,80.14,80.23,80.33,80.12,15.63K
2013/12/6,80.315,80.305,80.64,80.22,22.55K
2013/12/5,80.241,80.675,80.845,80.23,33.75K
2013/12/4,80.628,80.675,80.93,80.545,23.06K
2013/12/3,80.618,80.95,81.015,80.51,17.51K
2013/12/2,80.942,80.685,80.99,80.51,19.88K
2013/11/29,80.657,80.565,80.695,80.495,9.81K
2013/11/28,80.747,80.745,80.755,80.555,2.84K
2013/11/27,80.747,80.69,80.815,80.5,16.93K
2013/11/26,80.638,80.83,80.94,80.62,21.77K
2013/11/25,80.963,80.72,81.06,80.67,14.88K
2013/11/22,80.742,81.04,81.135,80.685,14.67K
2013/11/21,81.117,81.19,81.335,81,17.61K
2013/11/20,81.172,80.62,81.2,80.56,31.44K
2013/11/19,80.744,80.74,80.875,80.605,14.42K
2013/11/18,80.826,80.875,80.965,80.6,13.75K
2013/11/15,80.898,81.11,81.21,80.835,14.95K
2013/11/14,81.086,80.865,81.27,80.855,18.55K
2013/11/13,80.983,81.22,81.35,80.8,20.98K
2013/11/12,81.252,81.19,81.545,81.08,21.32K
2013/11/11,81.2,81.38,81.42,81.13,15.26K
2013/11/8,81.387,80.955,81.58,80.79,32.56K
2013/11/7,80.854,80.625,81.565,80.52,42.95K
2013/11/6,80.559,80.785,80.8,80.455,14.70K
2013/11/5,80.787,80.63,80.895,80.575,15.13K
2013/11/4,80.64,80.81,81.025,80.61,17.47K
2013/11/1,80.81,80.33,80.87,80.32,31.32K
2013/10/31,80.263,79.82,80.355,79.74,26.16K
2013/10/30,79.837,79.7,79.975,79.485,16.31K
2013/10/29,79.67,79.385,79.74,79.34,18.07K
2013/10/28,79.306,79.3,79.445,79.205,10.85K
2013/10/25,79.246,79.255,79.38,79.06,11.62K
2013/10/24,79.245,79.355,79.375,79.135,13.68K
2013/10/23,79.329,79.31,79.44,79.19,13.44K
2013/10/22,79.29,79.785,79.86,79.235,20.37K
2013/10/21,79.751,79.73,79.875,79.68,11.06K
2013/10/18,79.727,79.77,79.82,79.55,12.86K
2013/10/17,79.718,80.635,80.65,79.68,26.22K
2013/10/16,80.563,80.585,80.85,80.37,18.32K
2013/10/15,80.561,80.445,80.8,80.34,25.39K
2013/10/14,80.311,80.385,80.475,80.2,10.07K
2013/10/11,80.452,80.58,80.625,80.34,14.42K
2013/10/10,80.517,80.5,80.685,80.395,16.00K
2013/10/9,80.466,79.97,80.865,79.95,29.22K
2013/10/8,80.132,80,80.17,79.915,15.81K
2013/10/7,80.026,80.2,80.235,79.97,13.14K
2013/10/4,80.22,79.85,80.285,79.78,14.31K
2013/10/3,79.846,79.935,80.02,79.72,15.64K
2013/10/2,79.989,80.29,80.38,79.875,20.80K
2013/10/1,80.25,80.35,80.41,79.955,28.64K
2013/9/30,80.323,80.46,80.49,80.115,16.35K
2013/9/27,80.377,80.65,80.7,80.205,17.03K
2013/9/26,80.638,80.485,80.76,80.405,17.85K
2013/9/25,80.443,80.69,80.74,80.395,19.24K
2013/9/24,80.69,80.57,80.745,80.52,15.62K
2013/9/23,80.571,80.47,80.645,80.395,14.78K
2013/9/20,80.549,80.45,80.685,80.405,22.69K
2013/9/19,80.48,80.285,80.56,80.155,36.22K
2013/9/18,80.367,81.3,81.37,80.17,48.16K
2013/9/17,81.295,81.42,81.505,81.245,13.01K
2013/9/16,81.072,81.16,81.19,81.005,0.61K
2013/9/13,81.448,81.535,81.73,81.415,16.04K
2013/9/12,81.491,81.49,81.74,81.35,20.72K
2013/9/11,81.522,81.83,81.94,81.455,43.84K
2013/9/10,81.819,81.835,81.985,81.73,29.33K
2013/9/9,81.796,82.25,82.33,81.685,31.87K
2013/9/6,82.167,82.67,82.7,81.935,39.06K
2013/9/5,82.668,82.225,82.71,82.1,44.64K
2013/9/4,82.205,82.405,82.47,82.105,22.10K
2013/9/3,82.401,82.35,82.78,82.28,31.78K
2013/9/2,82.142,82.12,82.36,82.065,9.81K
2013/8/30,82.142,82.025,82.325,81.93,27.16K
2013/8/29,82.003,81.5,82.27,81.42,41.84K
2013/8/28,81.465,81.165,81.64,81.135,31.64K
2013/8/27,81.2,81.385,81.615,81.14,34.09K
2013/8/26,81.441,81.4,81.555,81.305,16.70K
2013/8/23,81.392,81.545,81.7,81.245,30.45K
2013/8/22,81.531,81.45,81.95,81.41,34.23K
2013/8/21,81.223,80.945,81.55,80.925,37.47K
2013/8/20,80.934,81.315,81.38,80.77,30.89K
2013/8/19,81.26,81.32,81.415,81.17,21.27K
2013/8/16,81.293,81.175,81.44,81.065,25.75K
2013/8/15,81.207,81.675,81.995,81.115,38.71K
2013/8/14,81.758,81.795,81.905,81.66,20.07K
2013/8/13,81.815,81.515,81.925,81.435,26.37K
